post_id,chunk_num,cluster,z0,z1,z2,z3,z4
l72j3y,0,33,9.615951,9.679687,12.323383,0.08827687,7.971298
l8r9wc,3,-1,10.702148,9.393154,10.704663,0.91606295,7.606172
l759s2,0,-1,10.48732,10.204438,11.586184,0.441455,8.016812
l6ywst,0,17,9.347148,11.3750925,11.712058,-0.7701894,7.0037227
layrao,1,27,11.160589,10.828216,9.765889,0.36801267,10.63105
l6zf14,0,15,7.983283,12.009738,9.380105,0.4158751,8.517905
l72ov1,0,-1,10.723866,9.354291,10.901551,-0.69338405,9.041366
l72xca,0,7,12.187227,10.221019,9.459927,-0.07997953,9.1030855
l720dy,1,27,10.69116,10.629187,9.130727,-0.38581976,10.691129
l752cn,0,-1,9.795976,9.1578,11.562507,-0.76449895,7.836336
l72an6,6,-1,10.353682,11.444134,10.960191,0.8173558,9.221318
l6z0hs,0,27,11.8143835,10.790936,9.927166,-0.49586233,10.111498
l701oy,4,15,8.509552,11.962136,9.269845,0.7259597,8.032397
l6zh6h,0,33,9.456288,9.89858,12.536926,0.16788293,8.035404
l741k6,0,21,10.072492,11.486078,11.136374,0.6577463,9.187347
l72i1v,0,30,10.613639,9.574484,9.787223,1.0448638,8.072594
l722vv,0,15,8.103944,11.907282,9.637059,0.20513697,8.4725275
l8brqg,4,27,11.630945,11.071905,9.566119,1.372517,10.375485
l91sna,9,-1,9.567343,9.090643,11.716676,0.9900343,8.043835
l9ev6u,2,27,11.196403,10.931574,9.97125,0.019235995,10.066853
l71h80,0,33,10.836739,8.920398,11.386393,-0.4306558,7.828484
l708d9,0,-1,9.43987,11.61765,11.459488,-0.27674398,8.107249
l8pg8x,1,17,9.335533,10.963668,11.680568,-0.6606368,7.1765294
l89baf,2,-1,8.790757,9.128471,11.209426,-0.43382445,7.848718
l6ywow,0,32,10.805475,9.509045,11.075532,-0.0255581,7.789638
l7rx75,1,33,9.588268,9.965825,11.67223,1.2508433,8.627828
l7qmfv,3,-1,11.198088,10.0124035,11.494905,-0.53092587,8.307733
lbr666,2,33,9.549621,9.493481,12.253874,1.2066303,8.639076
l873f0,0,-1,11.470321,10.134405,10.521124,0.452287,8.863994
l70lp7,0,-1,9.515399,10.638675,11.849403,0.5314861,8.771568
l6zecw,0,15,8.03902,12.301137,9.28076,0.5047328,8.707675
l6h5am,0,28,8.241989,9.286902,10.99168,-0.66107196,7.442299
l803zd,1,27,11.460146,11.195109,9.64,1.0563835,10.416013
lc8dnh,1,-1,10.869145,9.393082,11.318954,1.058498,7.7995696
l81x7r,1,28,9.144659,9.191178,11.614446,-0.43095782,8.157157
l7yu3k,0,19,10.074392,10.6411915,10.694809,0.41220132,10.209754
lbhmsd,1,33,11.3014145,9.256931,10.846087,0.31613702,7.835494
l8sy4n,2,27,11.246126,11.240863,10.039111,-0.041455664,10.026134
l9h8mz,1,21,10.479825,11.602029,10.613176,0.7662394,9.624088
l9ucd4,1,33,9.513676,9.484556,12.125184,1.2349821,8.754688
l84pbe,1,33,9.46338,9.702353,11.8131275,1.1463394,8.498352
l71wf8,5,15,8.363448,11.964044,9.203059,0.5360009,8.132471
l73fgv,6,11,8.311103,10.316448,11.045593,0.44863242,7.023012
lb3ycs,0,-1,9.465635,10.214169,11.692804,0.5653464,7.7441673
laq9ef,2,33,10.8083315,9.879059,10.704727,1.7109878,8.366228
l7210f,0,33,11.493309,9.032221,11.782643,-1.178237,8.66029
lc9ye9,0,-1,11.242093,10.963611,10.01452,-0.42766786,10.226363
l78ksp,9,17,9.651296,11.05677,11.802181,-0.28849828,7.558781
laj2hf,1,21,10.665401,11.547798,10.3628025,0.77821016,10.014789
l6yw8s,0,15,8.425069,11.888861,9.293161,0.47929338,7.985517
lbfbeb,1,-1,11.3490095,9.46751,10.402186,1.712152,7.4977074
lbfq7d,1,30,10.2539425,10.2086315,9.760451,1.0116578,7.7077575
l9fjlg,0,-1,9.522366,9.685237,12.100063,-0.20596933,7.9041324
l71h80,1,33,11.598372,9.763054,10.797268,1.6590227,8.211309
l71yxn,7,15,7.6123285,11.924145,10.47258,0.7183085,9.099403
l7i02a,1,12,10.194227,9.489627,11.4579735,0.13256438,9.262068
lak3pn,1,21,10.78427,11.481624,10.374087,0.879747,9.715228
l9xfxv,0,15,7.4694743,12.076392,10.2879715,0.99510336,8.797698
lb87tj,0,15,7.9221916,12.257701,9.03597,0.56440675,8.135764
laoxn8,2,33,11.227279,9.7301235,10.52371,1.6110678,8.179814
l7128t,0,-1,10.967629,11.507768,9.571577,1.1526752,10.096181
l7298s,1,-1,9.061935,9.909569,12.216018,0.4515767,8.098122
l8ctce,2,15,8.285607,12.1261215,9.746951,0.21687481,8.334623
l9hvfu,1,27,11.730165,10.615738,9.752951,-0.20644806,10.345717
l72sg3,2,-1,10.01152,8.754015,11.558881,0.61812794,8.450238
l71oh7,0,-1,10.17206,10.977083,9.779551,1.910744,8.236346
l70tdz,0,-1,10.873131,9.316748,10.857525,0.3013047,8.449778
layj16,1,33,9.270861,9.572516,12.2080345,0.9426571,8.823311
lbhu8u,8,15,8.4116335,11.911965,8.943554,0.4185022,8.081408
lbnrmi,7,-1,10.73149,9.540687,10.52383,1.6896257,8.584348
l9k7mp,1,33,10.974576,8.692921,11.684765,-0.24612145,8.201156
l7uxwr,0,33,10.534419,9.8993435,10.413011,1.8869286,9.027193
lbpcby,0,30,9.606271,10.84156,9.922187,1.1760207,7.890119
l6zimy,0,-1,10.348719,10.002577,10.533535,1.6722304,8.552557
l83wti,0,-1,10.270578,8.631196,11.465754,0.57491976,8.607744
lc6m2z,1,-1,8.614197,11.45627,9.584921,0.11773495,8.581746
l8y7do,0,-1,10.905268,9.009771,11.433734,-1.0001698,8.795544
l890wz,0,15,8.299472,11.964216,9.046454,0.8472517,8.039476
l7uv6v,0,-1,10.5223255,11.12571,10.713437,0.884585,9.525982
l70e6w,0,-1,9.182768,9.698046,12.155955,0.20323226,9.221709
l6zur1,0,8,7.104512,9.081646,10.650527,-1.0893108,6.9274673
l70e8a,2,-1,11.341354,10.995998,10.172508,0.91030407,9.660992
l9g8ft,23,-1,10.9998255,9.737792,10.943454,0.6400972,7.744083
l717ug,1,15,8.320786,12.357468,9.220928,0.8407529,8.372734
l8hds6,1,23,11.817124,9.696679,10.044983,-1.2762618,10.369512
l74ls3,0,-1,10.695419,11.663328,10.428575,0.31086794,9.683969
lc92py,1,21,10.391864,11.729563,10.772719,0.5031231,9.510142
l8lvr8,3,33,11.65626,9.188364,11.088858,1.0541829,8.213295
laym44,0,33,9.278269,9.604752,12.239926,-0.015760904,8.803644
l7d4dc,0,-1,8.887803,8.841527,11.576843,-0.398466,8.372218
l6zlnl,0,33,11.064541,8.661263,11.694932,1.1849419,8.457342
l700ei,0,-1,10.110283,9.531754,10.821491,0.66466796,8.543956
l8y7qv,2,6,10.431887,10.866552,9.248226,-1.841573,10.981078
lc8vpa,0,12,10.157832,9.481189,11.489128,0.016383119,9.433429
l71wbe,1,-1,10.299601,9.32746,10.535353,0.0678212,8.167883
l6zke6,0,33,11.481038,9.051486,10.572332,0.9599212,7.7332835
lbfq7d,8,17,9.724311,11.300762,11.646363,-0.73985976,7.0134196
lb9j2l,3,5,7.8598533,8.9513035,12.756283,-0.27715173,9.305035
lahih0,3,27,11.094987,11.105704,10.260746,0.07666923,9.7627535
l70nh7,0,28,8.667509,9.481694,11.142442,-1.5608695,7.3075495
la4l1e,0,28,8.302705,9.713681,11.872047,-1.1935103,7.3755784
l93dum,2,-1,9.382189,10.078075,11.668298,1.4087175,8.998103
lal8a8,0,7,12.205091,10.080807,9.471083,-0.08244001,8.907416
l70z9a,0,-1,10.38573,9.6545515,10.828206,0.37242922,7.812727
l72435,0,33,10.288368,9.66305,10.969165,1.8916016,8.873095
l6z0sm,2,15,8.106891,11.872894,9.748664,0.34490988,8.230006
l7l2tb,1,15,7.917649,12.220174,9.147444,0.43916452,8.167325
l71wgd,0,15,7.892075,12.354284,8.975486,0.54520047,8.193886
l884hk,1,6,10.151954,11.115001,9.3813095,-1.4742103,10.738098
l6zrfr,0,33,11.620244,9.509028,11.482435,-0.7745421,8.143592
l7movl,1,33,11.550294,9.800833,11.431659,-0.68758845,7.88638
l7lqm6,3,-1,8.301677,11.770763,9.669609,0.12379555,8.545716
l6zfl5,0,13,9.903878,11.384828,9.3159895,1.306714,7.4052944
